Código,Nome,Histórico,Foto,Autor,Inauguração,Localização,Latitude,Longitude
243,"Embocadura","Trata-se de uma embocadura art-decor que recebeu diversas alterações, mas mantendo seu estilo.","http://riomonumentos.com/cadastro/uploads/embocadura .jpg","desconhecido ","1927","Túnel Velho","",""
244,"Calçada da Fama","Trata-se de placas de granito preto, na forma de uma estrela, com o nome do homenageado gravado em baixo relevo. Foram fixadas, a princípio, 15 personalidades do bairro. Foi uma iniciativa dos moradores e contou com o apoio da prefeitura à época.","http://riomonumentos.com/cadastro/uploads/calcada-da-fama.JPG","desconhecido ","2004","Praça do Lido","",""
245,"Monumento ao Descobrimento do Brasil","A inauguracao do monumento foi uma das festividades comemorativas do quarto centenário do Descobrimento do Brasil, celebradas no ano de 1900. O Monumento mede 10 metros e homenageia o comandante da frota que aportou no Brasil em 1500, Pedro Álvares Cabral, o escrivão da frota, Pero Vaz de Caminha, e o capelão de morde, Frei Henrique do Coimbra, que foi o celebrante da primeira missa.","http://riomonumentos.com/cadastro/uploads/monumento-ao-descobrimento-do-brasil.jpg","Rodolfo Bernadelli","13 de maio de 1902","Largo da Glória , Rio de Janeiro - RJ","",""
246,"Baden-Powell","O monumento foi uma iniciativa da União dos Escoteiros do Brasil ao Escoteiro Chefe Mundial.","http://riomonumentos.com/cadastro/uploads/baden-power.jpg","Vincenzo Larocca","28 de julho de 1960","Praça Luis de Camões, Rio de Janeiro - RJ","",""
247,"São Francisco de Assis","A estátua de São Francisco foi uma doação do Sr. Amaro da Silveira à prefeitura para adornar a praça no então conhecido campo do Russel.","http://riomonumentos.com/cadastro/uploads/sao-francisco-de-assis.jpg","Eduardo Sá","03 de outubro de 1927","Praça Luis de Camões, Rio de Janeiro - RJ","",""
248,"Raimundo Teixeira Mendes","Teixeira Mendes foi homenageado na cidade por sua participação no movimento positivista, influenciado por Benjamin Constant e, principalmente, na defesa dos princípios abolicionistas e republicanos.","http://riomonumentos.com/cadastro/uploads/raimundo-teixeira-mendes.jpg","Bruno Giorgi","19 de novembro de 1977","Praça Luis de Camões, Rio de Janeiro - RJ","",""
249,"Lasar Segall","Trata-se de uma homenagem ao pintor que foi um dos pioneiros da arte moderna entre os brasileiros e nunca deixou de elogiar as belezas de nossa terra. ","http://riomonumentos.com/cadastro/uploads/lazar-segall.JPG","Liuba Wolf","11 de setembro de 1964","Praça Luis de Camões, Rio de Janeiro - RJ","",""
250,"Alberto de Oliveira","Alberto de Oliveira é um dos principais poetas parnasianos. Por sua obra, está homenageado na cidade. ","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Petrus Verdier","1927","Praça Luis de Camões, Rio de Janeiro - RJ","",""
251,"Escoteiro","O monumento foi oferecido pelas crianças do Chile às crianças brasileiras para corresponder à amizade do Brasil ao socorrer as vítimas do terremoto de Coquimbo e Atacama. ","http://riomonumentos.com/cadastro/uploads/escoteiro .JPG","Fernando Thauby","20 de dezembro de 1923, na Avenida Beira Mar, e em frente a rua em 02 de dezembro","Praça Luis de Camões, Rio de Janeiro - RJ","",""
252,"Pereira Carneiro","O monumento foi inaugurado na Praça Marechal Âncora e depois transferido para essa praça. Trata-se de uma homenagem ao jornalista e incentivador da aviação no Brasil.","http://riomonumentos.com/cadastro/uploads/pereira-carneiro.JPG","E. Bertozzi","desconhecida","Praça Luis de Camões, Rio de Janeiro - RJ","",""
253,"Almirante Barroso","Este monumento foi inaugurado em 1909, na Praça Luís de Camões na Glória. Com as obras do Metrô, o monumento foi transferido para a Praça Paris, onde se encontra desde então.","http://riomonumentos.com/cadastro/uploads/almirante-barroso.jpg","Correia Lima","19 de novembro de 1909","Praça Paris, Rio de Janeiro - RJ","",""
254,"Rodolfo de Amoedo","Trata-se de uma homenagem ao professor e diretor da Escola de Belas Artes, que fez discípulos como: Eliseu Visconti, Lucílio de Albuquerque e Chamberland.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Correia Lima","1940","Praça Luis de Camões, Rio de Janeiro - RJ","",""
255,"Varnhagem","Trata-se de uma homenagem realizada pelo Instituto Histórico e Geográfico Brasileiro em comemoração a sua fundação.","http://riomonumentos.com/cadastro/uploads/varnhagem .JPG","Jose Otávio Correia Lima","21 de outubro de 1938","Praça Paris, Rio de Janeiro - RJ","",""
256,"Alfredo Agache","O monumento é uma homenagem da Associação dos Artistas Brasileiros, do Clube de Engenharia e do Comitê Nacional de Urbanista.","http://riomonumentos.com/cadastro/uploads/alfredo-agache.jpg","Heitor Usai","1992","Praça Paris, Rio de Janeiro - RJ","",""
257,"Vera Janacopulos","A homenagem partiu de sua irmã para imortalizar a criadora de obras vocais da música clássica moderna. ","http://riomonumentos.com/cadastro/uploads/vera-janacopulis.jpg","Adriana Janacopulos","20 de fevereiro de 1958","Praça Paris, Rio de Janeiro - RJ","",""
258,"Candido Mendes","Trata-se de uma homenagem a quem exerceu diversas funções em instituições de ensino e pesquisa nas áreas de sociologia e direito, além de representante do Brasil em diversas ocasiões em reuniões e organismos internacionais.","http://riomonumentos.com/cadastro/uploads/candido-mendes.JPG","Benevenuto Berna","24 de março de 1982, na Rua 7 de setembro, e 24 de março de 2001, na Praça Paris.","Praça Paris, Rio de Janeiro - RJ","",""
259,"Carmem Gomes","A homenagem à cantora lírica brasileira é uma inciativa dos artistas líricos brasileiros, que assim lhe prestaram a homenagem.","http://riomonumentos.com/cadastro/uploads/carmem-gomes.jpg","desconhecido ","4 de março de 1958","Praça Paris, Rio de Janeiro - RJ","",""
260,"Afonso Celso","Trata-se de uma homenagem ao membro fundador da Academia Brasileira de Letras.","http://riomonumentos.com/cadastro/uploads/afonso-celso .JPG","L. Ramos","31 de janeiro de 1960","Praça Paris, Rio de Janeiro - RJ","",""
261,"Reis e Silva","O monumento a Elias Reis e Silva é uma homenagem para imortalizar o cantor lírico nacional, um dos nossos principais tenores.","http://riomonumentos.com/cadastro/uploads/reis-e-silva.JPG","Rodolfo Bernadelli","desconhecida","Praça Paris, Rio de Janeiro - RJ","",""
262,"Clóvis Beviláqua","O monumento é uma homenagem a quem organizou o projeto do Código Civil Brasileiro e representou o Brasil no Tribunal de Haia.","http://riomonumentos.com/cadastro/uploads/clovis-bevilaqua.jpg","Honório Peçanha","dezembro de 1943","Praça Paris, Rio de Janeiro - RJ","",""
263,"Felino Deitado","Trata-se uma escultura em mármore de carrara representando um felino.","http://riomonumentos.com/cadastro/uploads/felino-deitado.jpg","H. Peyrol","1929","Praça Paris, Rio de Janeiro - RJ","",""
264,"Felino em Pé","Trata-se uma escultura em mármore de carrara representando um felino.","http://riomonumentos.com/cadastro/uploads/felino-em-pe.JPG","H. Peyrol","1929","Praça Paris, Rio de Janeiro - RJ","",""
265,"Verão","Trata-se de um conjunto escultórico representando as estações do ano: verão, inverno, primavera e outono. Essas peças são réplicas das existentes no Jardim de Versailles.","http://riomonumentos.com/cadastro/uploads/verao .JPG","desconhecido","1929","Praça Paris, Rio de Janeiro - RJ","",""
266,"Inverno","Trata-se de um conjunto escultórico representando as estações do ano: verão, inverno, primavera e outono. Essas peças são réplicas das existentes no Jardim de Versailles.","http://riomonumentos.com/cadastro/uploads/inverno .jpg","desconhecido","inaugurada em 1929","Praça Paris, Rio de Janeiro - RJ","",""
267,"Primavera","Trata-se de um conjunto escultórico representando as estações do ano: verão, inverno, primavera e outono. Essas peças são réplicas das existentes no Jardim de Versailles.","http://riomonumentos.com/cadastro/uploads/primavera .JPG","desconhecido","1929","Praça Paris, Rio de Janeiro - RJ","",""
268,"Outono","Trata-se de um conjunto escultórico representando as estações do ano: verão, inverno, primavera e outono. Essas peças são réplicas das existentes no Jardim de Versailles.","http://riomonumentos.com/cadastro/uploads/outono .jpg","desconhecido","1929","Praça Paris, Rio de Janeiro - RJ","",""
269,"Chafariz dos Golfinhos","Trata-se de um conjunto escultórico representando golfinhos que jorram água. São reproduções das existentes no Jardim de Versailles.","http://riomonumentos.com/cadastro/uploads/chafariz-dos-golfinhos.jpg","desconhecido","1929","Praça Paris, Rio de Janeiro - RJ","",""
270,"Relógio da Glória","Situado no extremo da balaustrada de cantaria, está instalado um relógio da marca 'Krussman' com quatro mostradores luminosos.","http://riomonumentos.com/cadastro/uploads/relogio-da-gloria.jpg","desconhecido","15 de abril de 1905","Rua da Glória, Rio de Janeiro - RJ","",""
271,"Murada da Glória","A murada em cantaria é composta por balaústres de ferro fundido. Esta balaustrada foi executada para a Praça Tiradentes, quando recebeu seu primeiro projeto paisagístico em 1894. Na administração de Pereira Passos, esta foi retirada e removida para esse local.","http://riomonumentos.com/cadastro/uploads/murada-da-gloria.jpg","desconhecido","15 de abril de 1905","Rua da Glória, Rio de Janeiro - RJ","",""
272,"Chafariz da Glória","Foi executado por iniciativa do Marquês do Lavradio, quando as águas da Baía da Guanabara chegaram perto dele, junto à encosta do Morro do Desterro, atual Santa Tereza. Em 1905, o prefeito Pereira Passos imprimiu algumas alterações, acrescentando, na parte superior, um outro muro.","http://riomonumentos.com/cadastro/uploads/chafariz-da-gloria .jpg","desconhecido","1772","Rua da Glória, Rio de Janeiro - RJ","",""
273,"Chafariz de São Sebastião","Trata-se da homenagem ao santo padroeiro da cidade do Rio de Janeiro. O monumento foi erguido pelo Instituto Histórico e Geográfico Brasileiro, que teve o apoio do Arcebispo do Rio, Cardeal D. Jaime Câmara, e do governador, Carlos Lacerda.","http://riomonumentos.com/cadastro/uploads/chafariz-de-sao-sebastiao.JPG","Dante Grocce","21 de agosto de 1965","Praça Luis de Camões, Rio de Janeiro - RJ","",""
274,"Memorial a Getúlio Vargas","O memorial é composto por um espelho de água com dois obeliscos de mármore branco e um espaço subterrâneo, onde estão objetos de Getúlio Vargas. Poucos metros à frente do lago, está o grande pedestal com seu busto.  ","http://riomonumentos.com/cadastro/uploads/memorial-a-getulio-vargas.jpg","Henock de Almeida","24 de agosto de 2004. O busto é de Joás Pereira dos Passos.","Praça Luis de Camões, Rio de Janeiro - RJ","",""
275,"Abertura dos Portos","Trata-se de um conjunto escultórico composto por duas escadarias, que dão acesso a Rua do Russel, e balaustrada em ferro fundido com luminárias. Duas figuras femininas em bronze representam o Comércio e Navegação. Essa obra foi uma iniciativa da Associação Comercial do Rio de Janeiro e a obra foi inaugurada no centenário da Abertura dos Portos. ","http://riomonumentos.com/cadastro/uploads/abertura-dos-portos.jpg","desconhecido ","28 de janeiro de 1908","Rua Juarez Távora, Rio de Janeiro - RJ","",""
276,"Murada do Outeiro da Glória","Trata-se de uma murada construída para a criação de um parque na subida do morro até o Outeiro da Igreja da Glória. Adotando um traçado sinuoso com platôs, os muros de pedra em cantaria foram em grande parte reutilizados na pavimentação da área central do Rio de Janeiro.","http://riomonumentos.com/cadastro/uploads/murada-do-outeiro-da-gloria.jpg","Lúcio Costa","1959","Praça Nossa Senhora da Glória, Rio de Janeiro - Rio de Janeiro","",""
277,"Plano Inclinado do Outeiro da Glória","Foi construído para facilitar o deslocamento das pessoas até a igreja. Foi modernizado pela prefeitura em 2003, com melhorias na estrutura do leito que suporta os trilhos, maquinária e cabines.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","1945","Rua do Russel, 312, Rio de Janeiro - RJ","",""
278,"Eduardo Tapajós","Trata-se de uma homenagem a quem teve grande atuação para potencializar o turismo no Rio de Janeiro. Começou a trabalhar no Hotel Glória como diretor, tornando-se presidente posteriormente.  ","http://riomonumentos.com/cadastro/uploads/eduardo-tapajos.jpg","Gilberto Mandarino","8 de maio de 2000","Praça Juarez Távora, Rio de Janeiro - RJ","",""
279,"O’Higgins","O monumento foi doado à cidade do Rio de Janeiro pelo governo do Chile por ocasião do IV Centenário da fundação da cidade.  ","http://riomonumentos.com/cadastro/uploads/o-higgins.jpg","Caroccaba Tlor","1965, na Avenida Chile, no canteiro central. Posteriormente, transferida para um canteiro lateral em 23 de maio de 1996. Em 17 de janeiro de 2007, foi","Praia do Flamengo, Rio de Janeiro - RJ","",""
280,"Cuauhtémoc","Foi doada à cidade pelo governo do México como parte das comemorações do Centenário da Independência (1922). Foi inaugurada na data nacional mexicana.","http://riomonumentos.com/cadastro/uploads/cuauhtemoc .JPG","Carlos Obregon Santacília","16 de setembro de 1922","Praça Cuauhtémoque, Rio de Janeiro - RJ","",""
281,"Oswaldo Cruz","O monumento é uma homenagem ao pioneiro no estudo das moléstias tropicais e da medicina experimental no Brasil.","http://riomonumentos.com/cadastro/uploads/oswaldo-cruz.jpg","Humberto Cozzo","1972","Praça Nicarágua, Rio de Janeiro - RJ","",""
282,"Carlos Chagas","O monumento foi uma iniciativa do Governo do Estado e Conselho Federal de Cultura, no ano do centenário de seu nascimento.","http://riomonumentos.com/cadastro/uploads/carlos-chagas.JPG","Humberto Cozzo","1979","Praia de Botafogo, Rio de Janeiro - RJ","",""
283,"Jurema de Matos","É uma homenagem ao proprietário do antigo Colégio Juruena.","http://riomonumentos.com/cadastro/uploads/jurema-de-matos.JPG","J. Moreira Júnior","3 de junho de 1967","Praia de Botafogo, 428, Rio de Janeiro - RJ","",""
284,"Carvalho Brito","Carvalho de Brito foi homenageado por sua atuação como advogado, político, empresário e diretor do Banco do Brasil.    ","http://riomonumentos.com/cadastro/uploads/carvalho-brito.JPG","Ruffo Fanuchi","desconhecida","Praia de Botafogo, Rio de Janeiro - RJ","",""
285,"Monumento a Eça de Queiroz","A iniciativa do monumento é devida a um grupo de homens de letras que propuseram a homenagem.","http://riomonumentos.com/cadastro/uploads/monumento a-eca-de-queiroz.jpg","Rodolfo Pinto Couto","25 de fevereiro de 1923 na Av. Santos Dumont. Posteriormente, foi transferido para a Av. Rui Barbosa, próximo à Praia de Botafogo, e finalmente, em 19","Avenida Lauro Sodré, Rio de Janeiro - RJ","",""
286,"Fonte Ramos Pinto","A escultura foi doada pelos irmãos Adriano Ramos Pinto, de uma vinícola da Cidade do Porto, Portugal, para ser um marco perene em memória da cidade.","http://riomonumentos.com/cadastro/uploads/fonte-ramos-pinto.jpg","A. Teixeira Lopes","24 de fevereiro de 1906 no Largo da Glória e em 1951 nesse local","Avenida Lauro Sodré, Rio de Janeiro - RJ","",""
287,"Simón Bolívar","A estátua equestre de Simón Bolívar foi doada ao Brasil pelo governo da Venezuela para homenagear seu herói e também libertador da Venezuela, Colômbia, Equador, Panamá, Peru e Bolívia.","http://riomonumentos.com/cadastro/uploads/simom-bolivar.jpg","desconhecido ","2 de outubro de 1978","Av. Lauro Sodré, Rio de Janeiro - RJ","",""
288,"Ozanam ","O monumento foi doado à cidade para comemorar o centenário da Fundação da Confederação Vicentina do Brasil.","http://riomonumentos.com/cadastro/uploads/ozanam .jpg","desconhecido","4 de agosto de 1972","Praça Ozanan - Rio de Janeiro - RJ","",""
289,"Painel","Trata-se de um painel de cerâmica abstrato, doado pelo artista, para adornar o espaço.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Paulo Freire","2000","Rua São Clemente, Rio de Janeiro - RJ","",""
290,"Yitzhak Rabin","O monumento é uma homenagem ao líder israelense. Foi uma homenagem do presidente da Câmara Municipal do Rio de Janeiro, o vereador Gerson Bergher.","http://riomonumentos.com/cadastro/uploads/yitzhak-rabin .jpg","Edgar Duvivier","24 de setembro de 2000","Morro do Pasmado","",""
291,"Bocage","Trata-se de uma doação à cidade pelo governo Português em comemoração ao IV Centenário da fundação da cidade.","http://riomonumentos.com/cadastro/uploads/bocage .JPG","Joaquim Correia","21 de dezembro de 1965","Praça Bariloche, Rio de Janeiro - RJ","",""
292,"Francisco Morazán","Foi inaugurado inicialmente na Praia de Botafogo e transferido para a Praça Weissman em 1997. Foi eleito presidente das Províncias Unidas da América Central em 1830, ocupando o cargo durante quase dez anos. ","http://riomonumentos.com/cadastro/uploads/francisco-morazan.jpg","Romeu Alves","desconhecida","Praia de Botafogo, Rio de Janeiro - RJ","",""
293,"General Artigas","Trata-se de uma doação à cidade do Rio de Janeiro, numa homenagem do Uruguai.","http://riomonumentos.com/cadastro/uploads/general-artigas.JPG","V. Habegger","1 de setembro de 1979 na Praça Artigas, na Cidade Nova. Devido às obras do teleporto, foi removido e instalado nessa praça em 19 de setembro de 1997.","Praça Chaim Weizmann, Rio de Janeiro - RJ","",""
294,"Chafariz Estrela","Trata-se de um chafariz de jorro de água que forma uma estrela com um jato central.","http://riomonumentos.com/cadastro/uploads/chafariz-estrela.gif","desconhecido","desconhecida","Praia de Botafogo, Rio de Janeiro - RJ","",""
295,"Chafariz do Vaso","Trata-se de um chafariz em cujo centro está instalada uma ânfora em mármore de carrara com figuras em alto relevo.","http://riomonumentos.com/cadastro/uploads/chafariz-do-vaso.jpg","desconhecido","desconhecida","Praia de Botafogo, Rio de Janeiro - RJ","",""
296,"Chafariz do Almirante Tamandaré","Trata-se do monumento ao patrono da Marinha do Brasil, herói brasileiro.","http://riomonumentos.com/cadastro/uploads/chafariz-do-almirante-tamandare.JPG","Leão Veloso","28 de dezembro de 1937","Praça Marinha do Brasil, Rio de Janeiro - RJ","",""
297,"Chafariz da Praça","Este monumento é um pequeno chafariz de ferro fundido no centro de um tanque circular de cantaria. ","http://riomonumentos.com/cadastro/uploads/foto_chafariz_da_praça.jpg","desconhecido","1882 no Largo da Mãe do Bispo e nesta praça desde 1924.","Praça Nicarágua, Rio de Janeiro - RJ","",""
298,"Bartolomeu Mitre","Este monumento foi uma doação da Argentina à nação brasileira. Bartolomeu Mitre foi político, escritor e jornalista.  ","http://riomonumentos.com/cadastro/uploads/bartolomeu-mitre.JPG","Lourilland San","desconhecida","Praia de Botafogo, Rio de Janeiro - RJ","",""
299,"Crepúsculo","Trata-se de uma escultura em mármore, adquirida na França, para adornar este espaço.","http://riomonumentos.com/cadastro/uploads/crepusculo .jpg","H. Weigele","1906","Praia de Botafogo, Rio de Janeiro - RJ","",""
300,"Poesia em Ruínas","Trata-se de uma escultura em mármore, adquirida na França, para adornar este espaço.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Jean Magrou","1904","Praia de Botafogo, Rio de Janeiro - RJ","",""
301,"Proteção","Escultura em mármore de uma mulher semideitada tendo uma criança ao colo.","http://riomonumentos.com/cadastro/uploads/protecao .jpg","Celso Antônio","1952","Praia de Botafogo, Rio de Janeiro - RJ","",""
302,"Mãe","A escultura foi uma doação para adornar a fachada da maternidade. ","http://riomonumentos.com/cadastro/uploads/mae.jpg","João Zaco Paraná","1971","Praia de Botafogo, Rio de Janeiro - RJ","",""
303,"Pablo Neruda","Trata-se de um marco de granito bruto com uma placa em bronze em reverência ao poeta.","http://riomonumentos.com/cadastro/uploads/pablo-neruba.JPG","Projeto da FPJ","17 de novembro de 2004","Praia de Botafogo, Rio de Janeiro - RJ","",""
304,"Atleta","Escultura foi adquirida do escultor pelo Sr. Emilio Alfredo Giannelli e doada à prefeitura. ","http://riomonumentos.com/cadastro/uploads/atleta .JPG","Remo Bernucci","1987","Parque da Catacumba, Rio de Janeiro - RJ","",""
305,"Acoplamento","Esta peça foi doada à prefeitura do Rio de Janeiro pela companhia Cerveja Brahma.","http://riomonumentos.com/cadastro/uploads/acoplamento .jpg","Mário Cravo","1979","Parque da Catacumba , Rio de Janeiro - RJ","",""
306,"Compreensão","Esta peça foi doada à Prefeitura da Cidade do Rio de Janeiro pela Sul-América Seguros.","http://riomonumentos.com/cadastro/uploads/compressao .JPG","Francisco Stockinger","1979","Parque da Catacumba , Rio de Janeiro - RJ","",""
307,"Construção","Esta obra foi doada à Prefeitura da Cidade pela Companhia Atlântica-Boavista de Seguros.","http://riomonumentos.com/cadastro/uploads/construcao .JPG","Bruno Giorgi","1979","Parque da Catacumba , Rio de Janeiro - RJ","",""
308,"Cosmo I","A peça foi doada pelo Sindicato Nacional da Indústria de Construção Naval.","http://riomonumentos.com/cadastro/uploads/cosmo-i.JPG","Maria Guilhermina","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
309,"Diana, a Caçadora","A peça foi doada à prefeitura pela empresa P. Marchette Engenharia.","http://riomonumentos.com/cadastro/uploads/diana-a-cacadora.JPG","Heloisa Dolabella","1987","Parque da Catacumba, Rio de Janeiro - RJ","",""
310,"Estrutura","A obra foi doada à prefeitura pela Companhia de Comércio e Navegação.","http://riomonumentos.com/cadastro/uploads/estrutura .JPG","Sérgio Camargo","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
311,"Estrutura em Diagonal","Esta peça foi doada à prefeitura pela Construtora Andrade Gutierrez.","http://riomonumentos.com/cadastro/uploads/estrutura-em-diagonal .jpg","Sérgio Camargo","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
312,"Evolução","Esta peça foi doada à prefeitura pela Bolsa de Valores do Rio de Janeiro.","http://riomonumentos.com/cadastro/uploads/evolucao .JPG","Melinda Garcia","1979","Parque da Catacumba , Rio de Janeiro - RJ","",""
313,"Flora","Esta obra foi doada pela L.O. Graça Engenharia Ltda. para a Prefeitura da Cidade do Rio de Janeiro.","http://riomonumentos.com/cadastro/uploads/flora .JPG","Mário Cravo","24 de abril de 1988","Parque da Catacumba, Rio de Janeiro - RJ","",""
314,"Raízes – Amazonas","","http://riomonumentos.com/cadastro/uploads/raizes---amazonas.JPG","Fernando Casás","1990","Parque da Catacumba, Rio de Janeiro - RJ","",""
315,"Guardião","Foi doada à cidade do Rio de Janeiro pela Empresa Senge Serviços de Engenharia S.A. ","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Celeida Tostes","24 de abril de 1988","Parque da Catacumba, Rio de Janeiro - RJ","",""
316,"Ampulheta - A Medida do Tempo","A obra foi comprada pela Prefeitura da Cidade do Rio de Janeiro. ","http://riomonumentos.com/cadastro/uploads/ampulheta---a-medida-do-tempo.JPG","Frans Krajcberg","22 de agosto de 1986","Parque da Catacumba, Rio de Janeiro - RJ","",""
317,"Fruto do Espaço","O monumento foi exposto em 1980 no Parque da Catacumba e adquirido pela prefeitura da cidade em 1981.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Antonio Manuel Oliveira","1980","Parque da Catacumba, Rio de Janeiro - RJ","",""
318,"Prometeu","Esta peça foi doada à Prefeitura da Cidade pela construtora Gávea Ltda. e Bolsa de Arte do Rio de Janeiro.","http://riomonumentos.com/cadastro/uploads/prometeu .JPG","Evandro Carneiro","1988","Parque da Catacumba, Rio de Janeiro - RJ","",""
319,"Oxóssi","Esta obra foi doada à prefeitura da Cidade pela Coca-Cola Indústria S.A.","http://riomonumentos.com/cadastro/uploads/oxossi .JPG","Carybé ","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
320,"Iansã","A peça foi doada à prefeitura pela Ecisa-Engenharia Comércio e Indústria Ltda.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Tatti Moreno","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
321,"Príncipe dos Bosques","A peça foi doada à cidade pela Sociedade de Amigos da Lagoa.","http://riomonumentos.com/cadastro/uploads/principe-dos-bosques.JPG","Remo Bermucci","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
322,"Homem Sentado","Este monumento foi doado à Prefeitura da Cidade do Rio de Janeiro pela empresa Carioca de Engenharia S.A.","http://riomonumentos.com/cadastro/uploads/homem-sentado.JPG","Mario Agostinelli","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
323,"Sofia","A peça foi doada à cidade do Rio de Janeiro pelo Jockey Club Brasileiro.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Sonia Ebling","1979","Parque da Catacumba, Rio de Janeiro - RJ","",""
324,"Atenas","Escultura em mármore representando a Deusa protetora da agricultura.","http://riomonumentos.com/cadastro/uploads/atenas001.jpg","desconhecido","desconhecida","Praça dos Estudantes, Rio de Janeiro - RJ","",""
325,"Manuel Caldeira de Alvarenga","Monumento de 3m de altura com a estátua do homenageado em bronze em tamanho natural.","http://riomonumentos.com/cadastro/uploads/manuel_caldeira_de_alvarenga001.jpg","M. Grossmann","desconhecida","Praça dos Estudantes, Rio de Janeiro - RJ","",""
326,"Filomena Del Cima","Foi uma iniciativa dos familiares, principalmente de Ítalo Del Cima, que doou o terreno para a construção do Estádio de Futebol de Campo Grande.","http://riomonumentos.com/cadastro/uploads/filomena_del_cima001.jpg","Miguel Pastor","1949","Avenida Artur Rios, 1130, Rio de Janeiro - RJ","",""
327,"Alim Pedro","Trata-se de um obelisco em homenagem ao prefeito da Cidade de 1956 a 1960.","http://riomonumentos.com/cadastro/uploads/alim_pedro001.jpg","Miguel Pastor","1958","Praça Francisco Barbosa, Rio de Janeiro - RJ (Praça Alim Pedro)","",""
328,"Telmo Gonçalves Maia","A homenagem está em um busto de bronze ao difusor do espiritismo.","http://riomonumentos.com/cadastro/uploads/telmo_g_maia001.jpg","Ruffo Fanucchi","1958","Praça Telmo Gonçalves Maia, Rio de Janeiro - RJ","",""
329,"Laranja","Escultura em aço pintada na cor laranja.","http://riomonumentos.com/cadastro/uploads/laranja001.jpg","George Guerra e George Lopes","1996","Av. Cesário de Melo  próximo a Rua Olinda Ellis, Rio de Janeiro","",""
330,"Relógio","Equipamento construído com estrutura metálica e um grande relógio ao centro.","http://riomonumentos.com/cadastro/uploads/relogio_calcadaocp001.jpg","desconhecido","1996","Rua Coronel Agostinho, Rio de Janeiro - RJ","",""
331,"Pirâmide de Aço","Peça escultórica em aço inox.","http://riomonumentos.com/cadastro/uploads/piramide_de_aco001.jpg","George Guerra e George Lopes","1996","Rua Engenheiro Trindade, Rio de Janeiro - RJ","",""
332,"Broca","Escultura em aço pintada na cor laranja.","http://riomonumentos.com/cadastro/uploads/broca001.jpg","George Guerra e George Lopes","1996","Rua Coronel Agostinho, Rio de Janeiro - RJ","",""
333,"Marco das Palmeiras","São estruturas com aço pintadas com chapas horizontais curvas.","http://riomonumentos.com/cadastro/uploads/marco_dos_palmeiras001.jpg","George Guerra e George Lopes","1996","Praça Francisco Barbosa, Rio de Janeiro - RJ","",""
334,"Fonte Ciborium","Trata-se de uma fonte de ferro fundido do séc. XIX, executada por Macfarlane´s de Glasgow, Escócia.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","desconhecida","Praça Francisco Barbosa, Rio de Janeiro - RJ","",""
335,"Francisco Freire Alemão","Marco composto por duas peças, uma com a efígie em bronze do homenageado e outra com uma placa com descrição de sua obra.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Miguel Pastor","desconhecida","Praça Francisco Barbosa, Rio de Janeiro - RJ","",""
336,"Chafariz Canhão","Escultura representando uma laranja descascada com um jorro de água direcionado.","http://riomonumentos.com/cadastro/uploads/chafariz_canhao001.jpg","George Guerra e George Lopes","23 de julho de 1996","Rua Aurélio Figueiredo, Campo Grande, Rio de Janeiro","",""
337,"Arco-íris","Estruturas em aço pintadas nas cores do arco-íris.","http://riomonumentos.com/cadastro/uploads/arco_iris001.jpg","George Guerra e George Lopes","23 de julho de 1996","Rua Coronel Agostinho, Rio de Janeiro - RJ","",""
338,"Coreto","Trata-se de uma construção em concreto próxima à igreja da localidade.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","desconhecida","Praça Mário Valadares, Rio de Janeiro - RJ (Praça Enzo Osborne)","",""
339,"Bica","É uma fonte tipo stela proveniente das fundições de Val d´Osne. Está fixada numa coluna de concreto e tijolo.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","desconhecida","Praça Enzo Osborne","",""
